Codigo;Descripcion;UbicacionCorregida;DisponibleCodigo;UDS_1Mes;UDS_3Meses;Almacen;Catalogo;Obsoleto;Tipo;UbicacionCodigo;Padre;UbicacionPadre;DisponiblePadre;Volumen;Peso;DeptATerceros;DeptDeTerceros;UbicacionCodigoAlt1;UbicacionCodigoAlt2;Existencias;EAN;MOSTRAR EN HEATMAP
01ACECAL;ACERO CALIBRADO REDONDO F-1  4;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01ACECALEX;ACERO CALIBRADO EXAGONAL FORAL;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01ACEPLE;ACERO PLETINA CALIBRADA   20X5;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01ACEPLE1;ACERO PLETINA CALIBRADA   10X5;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01ACEPLE2;ACERO PLETINA CALIBRADA   20X3;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR001;BARRA OVAL 32X14X1.5 (PERFIL);;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR002;BARRA TRIANGULAR 697 MM*T*;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR003;BARRA TRIANGULAR 1002 MM*T*;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR004;BARRA TRIAN.1311 MM*T* NO PEDI;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR120741;BARRA 741/120 S/MECANIZAR BRUT;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR230741;BARRA 741/2X30 BRUTO S/MECANIZ;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR400741;BARRA 741/40 S/MECANIZAR;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR600741;BARRA 741/60 BRUTO S/MECANIZAR;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAR800741;BARRA 741/80 S/MECANIZAR;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01BAS001;*ANU*BOTE PROTOTIPO 5 S/M SUAY;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01CHA001;CHA.HIE.PUL.ZETA 0.82X0.62;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01CHA002;CHA.HIE.PUL.N 2000X1000X0.6;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01CHA0031;CHAPA 440X440X1 M/M AZ  (71/30;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01CHA0032;CHAPA 515X515X1 M/M AZ  (71/40;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01CHA004;CHA.HIE.PUL.ZETA 2X0.62;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01CHA005;CHAPA ALUM.GOFRADA 2000X1000X6;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PER001;PERFIL ANGULO (25X25X1.5);;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PEROVAL;PERFIL OVAL (PCF) 32X14X1.5;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PEROVAL2;PERFIL OVAL (PCF) 30X15X1.5;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLA001;PLANCHA HIERRO 2000X1000X1.5MM;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLA002;PLANCHA GALV 2000X1000X1MM;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLA003;PLANCHA PULIDA 2000X1000X0.8;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLA004;PLANCHA PULIDA 2000X1000X0.7;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLA005;PLANCHA PULIDA 2000X1000X0.2;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLE001;PLETINA 6X12 CALIBRADA HIERRO;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLE002;PLETINA 20X3 CALIBRADA HIERRO;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01PLE003;PLETINA 20X5 CALIBRADA HIERRO;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
01TUB001;TUBO RECTANGULAR HIE 20X10X15;;0;;;OTRO;OTROS;VERDADERO;COMP;;;;;0;0;0;0;;;0;;
